name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bremen,2021-01-01T00:00:00,-1.2,-3.6,-0.9,100,0,0,,,,,6.5,284.8,,90.7,,0,,0,,Overcast,cloudy,remote
bremen,2021-01-01T01:00:00,1.5,-0.7,0.7,93.76,0.001,100,"rain,snow",0,0,,7.2,200,1004.4,91.3,11,0,,0,,"Snow, Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T02:00:00,1.5,-0.2,0.6,93.82,0.002,100,"rain,snow",0,0,,5.8,220,1004.4,93.9,11,0,,0,,"Snow, Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T03:00:00,1.2,-1.1,0.2,93.15,0,0,,0,0,,7.2,200,1004.6,95.4,13,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T04:00:00,1.4,-0.4,0.4,93.12,0,0,,0,0,,5.8,210,1004.8,95.1,13,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T05:00:00,1.6,-0.5,0.6,93.13,0.002,100,"rain,snow",0,0,,6.8,210,1004.8,92,11,0,,0,,"Snow, Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T06:00:00,1.7,0,0.9,94.46,0.002,100,"rain,snow",0,0,,5.8,200,1004.9,86.1,11,0,,0,,"Snow, Rain, Partially cloudy",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T07:00:00,1.6,1.6,0.9,94.46,0,0,,0,0,,4,250,1005.2,77.1,7,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T08:00:00,1.2,-0.3,0.2,93.14,0.001,100,"rain,snow",0,0,,5.1,230,1005.7,73,6,1.3,0,0,,"Snow, Rain, Partially cloudy",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T09:00:00,0.7,0.7,-0.1,94.45,0,0,,0,0,,3.6,220,1006.1,59.8,7,3,0,0,,Partially cloudy,partly-cloudy-day,"04275,00704,05014,C6054,00691,00044,05822"
bremen,2021-01-01T10:00:00,1.6,1.6,0.7,93.78,0.001,100,"rain,snow",0,0,,4.7,210,1006.5,43.9,6,14,0.1,0,,"Snow, Rain, Partially cloudy",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T11:00:00,2.5,-0.9,1.3,91.84,0,0,,0,0,,12.9,230,1006.8,42.1,8,69,0.2,1,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T12:00:00,3.1,0.7,1.7,90.49,0,0,,0,0,,8.7,240,1007,40.9,10,84,0.3,1,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T13:00:00,4,1,1.9,85.83,0,0,,0,0,,12.2,220,1006.9,45.3,12,100,0.4,1,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T14:00:00,3.8,1.2,1.9,86.96,0,0,,0,0,,10.4,210,1006.7,52.9,12,160,0.6,2,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T15:00:00,4.3,0.6,2.2,85.88,0.001,100,rain,0,0,,17.2,220,1007,56.6,10,47,0.2,0,,"Rain, Partially cloudy",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T16:00:00,3.4,0.1,1.9,90,0,0,,0,0,,12.9,220,1007.4,52.9,8,25,0.1,0,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T17:00:00,2.9,0.3,1.7,91.89,0,0,,0,0,,9.4,210,1007.9,54.2,7,7,0,0,,Partially cloudy,partly-cloudy-night,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-01T18:00:00,3.2,0.4,1.9,91.34,0,0,,0,0,,10.1,220,1007.9,52.6,6,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T19:00:00,3.3,0.2,2.2,92.02,0,0,,0,0,,12.2,220,1008.3,64,5,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T20:00:00,3.3,0.5,2.4,93.32,0,0,,0,0,,10.8,230,1008.6,81.4,5,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T21:00:00,3.1,-0.3,2.2,93.32,0,0,,0,0,,13.7,220,1009.1,95.1,5,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T22:00:00,3.3,-0.1,2.4,93.3,0,0,,0,0,,14,220,1009.5,91.3,5,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-01T23:00:00,3.5,0.1,2.4,92.03,0,0,,0,0,,14,220,1009.7,91,6,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T00:00:00,3.5,0.6,2.4,92.03,0,0,,0,0,,11.5,220,1010.1,89.3,7,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T01:00:00,3.6,0.6,2.4,91.4,0,0,,0,0,,11.9,210,1010.3,90.8,7,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T02:00:00,3.5,0.8,2.4,91.99,0.001,100,rain,0,0,,10.8,220,1010.5,95.2,7,0,,0,,"Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T03:00:00,3.6,0.4,2.4,91.34,0.001,100,rain,0,0,,13,210,1011,94.4,8,0,,0,,"Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T04:00:00,3.6,-0.1,2.4,91.4,0.002,100,rain,0,0,,16.2,210,1010.9,94.8,9,0,,0,,"Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T05:00:00,3.3,-0.1,2.2,92.04,0.002,100,rain,0,0,,14,220,1011.2,93.6,7,0,,0,,"Rain, Overcast",rain,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T06:00:00,3.2,0.3,2.4,94.52,0,0,,0,0,,10.8,210,1011.2,93.2,6,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T07:00:00,3.5,0.4,2.6,93.37,0,0,,0,0,,12.6,220,1011.5,94.7,6,0,,0,,Overcast,cloudy,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T08:00:00,3.6,0.2,2.6,92.73,0,0,,0,0,,14,210,1011.9,88.5,7,0.2,0,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T09:00:00,3.6,1.8,2.6,92.73,0,0,,0,0,,7.2,200,1012.5,90.2,7,7,0,0,,Overcast,cloudy,"04275,00704,05014,C6054,00691,00044,05822"
bremen,2021-01-02T10:00:00,3.6,0.8,2.6,92.73,0.004,100,rain,0,0,,11.2,200,1012.9,90.6,6,10,0,0,,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T11:00:00,3.8,0.9,2.9,93.29,0,0,,0,0,,11.9,220,1013.4,90.3,7,36,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T12:00:00,4.1,1.3,2.9,91.35,0,0,,0,0,,11.5,220,1013.6,92.6,7,39,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T13:00:00,4.1,0.9,2.4,88.33,0,0,,0,0,,14,230,1013.4,91.5,8,49,0.2,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T14:00:00,4.3,2.2,2.7,88.84,0,0,,0,0,,8.6,230,1013.4,85.3,9,49,0.2,0,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T15:00:00,4.3,2.4,2.6,88.27,0,0,,0,0,,7.9,210,1013.6,79.4,10,26,0.1,0,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T16:00:00,4.1,2.4,2.6,89.45,0,0,,0,0,,7.2,220,1014.2,74.4,8,11,0,0,,Partially cloudy,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2021-01-02T17:00:00,4,4,2.7,90.77,0,0,,0,0,,3.6,160,1014.5,69.5,8,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T18:00:00,3.8,3.8,2.7,92.06,0,0,,0,0,,1.8,170,1014.7,62.1,8,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
bremen,2021-01-02T19:00:00,4,4,2.4,89.08,0,0,,0,0,,4.7,130,1015.2,53.5,10,0,,0,,Partially cloudy,partly-cloudy-night,"42,750,070,405,014,000,000,000,000,000"
